metric,count,mean,median,std,min,q25,q50,q75,max
Salary,311,69020.6848874598,62810.0,25156.636929646644,45046.0,55501.5,62810.0,72036.0,250000.0
Absences,311,10.237942122186496,10.0,5.852595862702569,1.0,5.0,10.0,15.0,20.0
DaysLateLast30,311,0.41479099678456594,0.0,1.294519416885229,0.0,0.0,0.0,0.0,6.0
SpecialProjectsCount,311,1.2186495176848875,0.0,2.3494212278342412,0.0,0.0,0.0,0.0,8.0
total_onboarding_tasks,311,13.57556270096463,14.0,0.9604674206953598,10.0,14.0,14.0,14.0,14.0
completed_onboarding_tasks,311,9.903536977491962,10.0,1.8795213094457088,4.0,9.0,10.0,11.0,14.0
late_onboarding_tasks,311,3.0868167202572345,3.0,1.5373374013712848,0.0,2.0,3.0,4.0,9.0
onboarding_completion_rate,311,72.82182983147614,71.42857142857143,12.284707348224874,33.33333333333333,64.28571428571429,71.42857142857143,83.33333333333334,100.0
total_usage_records,311,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0
total_slack_activity,311,107.90032154340837,108.0,18.93178842052441,64.0,95.0,108.0,120.0,157.0
total_github_activity,311,70.08360128617363,80.0,31.872013528231008,0.0,69.0,80.0,88.0,121.0
total_teams_activity,311,33.40836012861736,29.0,19.356180830277577,3.0,20.0,29.0,40.5,101.0
total_workspace_activity,311,100.68488745980707,100.0,23.23714483121041,31.0,86.5,100.0,116.0,174.0
total_support_tickets,295,3.552542372881356,3.0,1.80977654239481,1.0,2.0,3.0,5.0,10.0
average_resolution_time_hours,291,19.82782785141548,18.67333333333333,8.958722131225386,3.0,14.309999999999999,18.67333333333333,23.264000000000003,53.66
open_support_tickets,295,2.8203389830508474,3.0,1.6837336690739162,0.0,1.0,3.0,4.0,9.0
total_learning_records,311,10.263665594855306,10.0,0.668120670049918,7.0,10.0,10.0,11.0,11.0
average_assessment_score,311,84.84641399061817,84.97200000000001,3.476032960806408,69.69,82.69136363636363,84.97200000000001,87.57,92.85666666666668
average_completion_time_hours,311,2.9831888475939925,2.966666666666667,0.4306933326068198,1.73,2.7447857142857144,2.966666666666667,3.1968750000000004,5.35
learning_completion_rate,311,69.96928402073095,70.0,14.740288952170951,14.285714285714285,60.0,70.0,80.0,100.0
