learning_record_id,employee_id,course_name,course_type,assigned_date,completed_date,assessment_score,completion_time_hours,course_status
LRN00001,10026,Information Security Awareness,Compliance,2011-07-06,,,,Assigned
LRN00002,10026,Data Privacy and Protection,Compliance,2011-07-07,2011-07-11,75.58,2.05,Completed
LRN00003,10026,Code of Conduct,Compliance,2011-07-05,,59.47,,In Progress
LRN00004,10026,Workplace Safety,Compliance,2011-07-06,2011-07-08,92.22,2.03,Completed
LRN00005,10026,Company Orientation,Orientation,2011-07-05,,,,In Progress
LRN00006,10026,HR Policies and Benefits,Orientation,2011-07-06,2011-07-08,78.33,2.35,Completed
LRN00007,10026,Communication and Collaboration Tools,Orientation,2011-07-07,2011-07-16,84.52,2.16,Completed
LRN00008,10026,Department Process Training,Role-specific,2011-07-10,,,,Overdue
LRN00009,10026,Role Fundamentals,Role-specific,2011-07-12,,,,Assigned
LRN00010,10026,Role Tools and Systems,Role-specific,2011-07-13,,73.32,,In Progress
LRN00011,10084,Information Security Awareness,Compliance,2015-03-31,2015-04-12,82.75,2.24,Completed
LRN00012,10084,Data Privacy and Protection,Compliance,2015-04-01,2015-04-13,90.93,2.45,Completed
LRN00013,10084,Code of Conduct,Compliance,2015-03-30,2015-04-06,79.4,1.7,Completed
LRN00014,10084,Workplace Safety,Compliance,2015-03-31,2015-04-07,90.35,1.73,Completed
LRN00015,10084,Company Orientation,Orientation,2015-03-30,,,,In Progress
LRN00016,10084,HR Policies and Benefits,Orientation,2015-03-31,2015-04-03,87.79,2.27,Completed
LRN00017,10084,Communication and Collaboration Tools,Orientation,2015-04-01,2015-04-12,88.31,2.82,Completed
LRN00018,10084,Department Process Training,Role-specific,2015-04-04,,,,In Progress
LRN00019,10084,Role Fundamentals,Role-specific,2015-04-06,2015-04-17,83.8,7.79,Completed
LRN00020,10084,Role Tools and Systems,Role-specific,2015-04-07,2015-04-19,93.75,2.99,Completed
LRN00021,10084,Professional Development,Optional,2015-04-14,,,,Assigned
LRN00022,10196,Information Security Awareness,Compliance,2011-07-06,2011-07-16,83.21,2.27,Completed
LRN00023,10196,Data Privacy and Protection,Compliance,2011-07-07,2011-07-12,84.47,1.49,Completed
LRN00024,10196,Code of Conduct,Compliance,2011-07-05,2011-07-14,89.98,1.54,Completed
LRN00025,10196,Workplace Safety,Compliance,2011-07-06,2011-07-07,82.58,2.06,Completed
