ticket_id,employee_id,created_date,issue_category,priority,resolution_time_hours,assigned_team,status
TKT00001,10026,2011-08-10 13:07:00,Learning,Medium,20.43,HR Support,Resolved
TKT00002,10026,2011-07-30 12:27:00,Learning,Medium,21.38,Learning & Development,Resolved
TKT00003,10026,2011-08-08 15:21:00,HR policy,Critical,1.77,People Operations,Closed
TKT00004,10026,2011-07-27 08:32:00,Hardware,Medium,22.95,IT Service Desk,Closed
TKT00005,10084,2015-04-24 14:56:00,Access,High,8.95,IT Service Desk,Closed
TKT00006,10084,2015-05-06 16:23:00,Learning,Medium,15.75,HR Support,Closed
TKT00007,10084,2015-05-05 15:46:00,Access,Medium,13.42,IT Access Management,Closed
TKT00008,10084,2015-04-05 10:06:00,Payroll,Medium,10.13,HR Support,Resolved
TKT00009,10084,2015-04-25 13:05:00,HR policy,Medium,10.23,People Operations,Resolved
TKT00010,10084,2015-04-17 17:51:00,Access,Low,33.77,IT Access Management,Resolved
TKT00011,10196,2011-08-07 14:27:00,Access,Low,33.52,IT Service Desk,Resolved
TKT00012,10196,2011-07-12 11:14:00,Hardware,Medium,14.08,IT Service Desk,Resolved
TKT00013,10196,2011-08-18 11:54:00,Access,Medium,29.07,IT Service Desk,Resolved
TKT00014,10196,2011-08-10 12:44:00,HR policy,Low,,HR Support,In Progress
TKT00015,10196,2011-07-14 15:18:00,Hardware,Medium,14.09,IT Service Desk,Resolved
TKT00016,10196,2011-08-04 12:18:00,HR policy,Medium,7.95,People Operations,Resolved
TKT00017,10196,2011-07-06 09:29:00,Hardware,Medium,52.16,IT Service Desk,Resolved
TKT00018,10088,2008-01-13 17:25:00,Access,Medium,39.79,IT Service Desk,Resolved
TKT00019,10088,2008-02-19 09:34:00,Hardware,Medium,18.73,Endpoint Support,Resolved
TKT00020,10088,2008-01-20 08:21:00,Hardware,High,7.53,Endpoint Support,Resolved
TKT00021,10069,2011-08-15 11:06:00,Learning,High,4.15,Learning & Development,Resolved
TKT00022,10069,2011-07-25 16:27:00,Hardware,Medium,,Endpoint Support,In Progress
TKT00023,10002,2012-01-11 10:26:00,Access,Critical,5.08,IT Access Management,Closed
TKT00024,10002,2012-01-14 13:28:00,Other,Medium,29.61,IT Service Desk,Resolved
TKT00025,10194,2014-11-15 08:49:00,Access,Low,52.12,IT Access Management,Resolved
TKT00026,10194,2014-11-22 11:59:00,Access,Critical,2.51,IT Access Management,Resolved
TKT00027,10114,2009-08-01 12:11:00,HR policy,High,3.29,People Operations,Closed
TKT00028,10114,2009-08-01 17:04:00,Access,Medium,20.64,IT Service Desk,Resolved
TKT00029,10250,2015-01-09 15:08:00,HR policy,Medium,,HR Support,In Progress
TKT00030,10250,2015-02-07 16:25:00,Other,Medium,30.97,IT Service Desk,Resolved
TKT00031,10250,2015-02-10 12:13:00,Learning,Medium,11.35,Learning & Development,Resolved
TKT00032,10252,2011-02-17 16:57:00,Learning,Low,27.99,Learning & Development,Resolved
TKT00033,10252,2011-01-24 17:08:00,Learning,High,5.4,HR Support,Resolved
TKT00034,10252,2011-02-03 08:42:00,Access,Low,33.38,IT Service Desk,Resolved
TKT00035,10252,2011-01-28 16:19:00,HR policy,Medium,9.44,People Operations,Closed
TKT00036,10242,2012-05-15 12:16:00,Payroll,Medium,13.09,HR Support,Resolved
TKT00037,10012,2014-12-18 16:54:00,Access,Critical,3.0,IT Access Management,Closed
TKT00038,10265,2012-03-27 11:41:00,Hardware,Medium,12.25,Endpoint Support,Resolved
TKT00039,10265,2012-03-01 11:22:00,Hardware,Medium,26.27,IT Service Desk,Resolved
TKT00040,10265,2012-03-27 17:40:00,Access,Medium,19.74,IT Access Management,Resolved
TKT00041,10066,2012-10-25 13:51:00,Access,Low,37.85,IT Access Management,Resolved
TKT00042,10066,2012-10-18 17:43:00,Access,High,13.18,IT Service Desk,Closed
TKT00043,10066,2012-10-30 17:56:00,Learning,Medium,10.65,HR Support,Resolved
TKT00044,10066,2012-09-29 13:00:00,Access,Medium,16.73,IT Access Management,Resolved
TKT00045,10066,2012-10-16 10:35:00,Learning,High,3.14,HR Support,Resolved
TKT00046,10061,2011-03-22 10:47:00,Learning,Medium,17.11,Learning & Development,Resolved
TKT00047,10061,2011-03-13 15:22:00,Other,Medium,12.43,IT Service Desk,Resolved
TKT00048,10061,2011-02-27 11:39:00,Hardware,Medium,,Endpoint Support,In Progress
TKT00049,10061,2011-04-01 16:38:00,Access,Low,21.97,IT Access Management,Resolved
TKT00050,10023,2016-08-23 15:32:00,Other,Critical,2.48,IT Service Desk,Closed
TKT00051,10023,2016-07-25 14:59:00,Learning,Medium,20.27,HR Support,Resolved
TKT00052,10023,2016-08-01 10:27:00,Access,Medium,13.57,IT Service Desk,Resolved
TKT00053,10023,2016-07-22 08:00:00,HR policy,Low,11.72,People Operations,Resolved
TKT00054,10055,2011-04-09 15:50:00,Other,High,5.66,HR Support,Resolved
