,onboarding_completion_rate,total_usage_records,average_daily_active_usage,total_slack_activity,total_jira_usage,total_github_activity,total_teams_activity,total_workspace_activity,total_support_tickets,average_resolution_time_hours,open_support_tickets,total_learning_records,completed_courses,average_assessment_score,learning_completion_rate,Absences,DaysLateLast30
onboarding_completion_rate,1.0,,-0.03251385984342625,-0.019518479318542847,0.011274075309556805,0.0036312785658886237,0.031816608030987466,0.03654820856164406,-0.002175768655826033,-0.04738012769418796,-0.04990665903583674,0.013038709188079546,0.013726110590435709,0.019662212131071968,0.01816987834854304,-0.02552906152293361,-0.03939914696075885
total_usage_records,,,,,,,,,,,,,,,,,
average_daily_active_usage,-0.03251385984342625,,1.0,0.3513590904438071,0.6076784555088192,0.6753869242054407,-0.41302074663017535,-0.20226970784276005,0.012644377697630212,-0.06196617269449072,-0.058344602914479515,0.05264353276570692,0.026317856218618856,0.06385327487572913,0.00747298753201902,0.040986912678695434,-0.0021092054222571475
total_slack_activity,-0.019518479318542847,,0.3513590904438071,1.0,0.21125282538890103,0.30379535479400815,-0.16931845648836658,-0.17790426237920173,0.01509252836536432,-0.03826976321943128,0.004578565992572123,0.048245005622975186,0.04228133253351013,-0.04901230652068891,0.03529634960774904,-0.07321012505195092,-0.004757119019141016
total_jira_usage,0.011274075309556805,,0.6076784555088192,0.21125282538890103,1.0,0.7633756874087136,-0.6546832888825521,-0.40946520965580946,-0.06239329921606421,-0.06485600458268252,-0.03263988849809146,0.07088131674126316,0.019349773386421475,-0.05754707849018899,-0.01022934401969956,0.049627495848848256,-0.05205526617714508
total_github_activity,0.0036312785658886237,,0.6753869242054407,0.30379535479400815,0.7633756874087136,1.0,-0.693520773606854,-0.49312055640872177,-0.12082161416306787,-0.03609227922638036,-0.11028724460946152,0.10136637971312135,-0.03472248747729476,-0.052562247957463615,-0.069109751376581,-0.015134946030631624,-0.015229118920909683
total_teams_activity,0.031816608030987466,,-0.41302074663017535,-0.16931845648836658,-0.6546832888825521,-0.693520773606854,1.0,0.3744034242360045,0.1033761991229794,0.029678886806479166,0.10289802948849396,-0.10887635648243048,0.05787561628150546,0.058362712699606134,0.09715583500632263,0.059678248825231796,0.04471382149829176
total_workspace_activity,0.03654820856164406,,-0.20226970784276005,-0.17790426237920173,-0.40946520965580946,-0.49312055640872177,0.3744034242360045,1.0,0.16453812528808393,0.003318795267143166,0.1306743558855623,-0.021019034693659365,0.06583058735904362,0.006810331477034927,0.07151850732255671,0.03954809143149762,-0.03285228190190046
total_support_tickets,-0.002175768655826033,,0.012644377697630212,0.01509252836536432,-0.06239329921606421,-0.12082161416306787,0.1033761991229794,0.16453812528808393,1.0,0.17994897989807163,0.8743271958263754,0.02541967682740976,-0.00842048639319352,0.025386095499696323,-0.01802571720049189,0.0631321894008697,-0.06756089208047461
average_resolution_time_hours,-0.04738012769418796,,-0.06196617269449072,-0.03826976321943128,-0.06485600458268252,-0.03609227922638036,0.029678886806479166,0.003318795267143166,0.17994897989807163,1.0,0.14232175276993586,0.045431896926458215,0.0007237045356681352,-0.055841170341218584,-0.01511552002149167,0.014683103598241876,0.07845314900086867
open_support_tickets,-0.04990665903583674,,-0.058344602914479515,0.004578565992572123,-0.03263988849809146,-0.11028724460946152,0.10289802948849396,0.1306743558855623,0.8743271958263754,0.14232175276993586,1.0,0.009880037289938831,-0.022303049836049964,0.005585105999499636,-0.02497126118628001,0.07053759053984197,-0.05792216474700379
total_learning_records,0.013038709188079546,,0.05264353276570692,0.048245005622975186,0.07088131674126316,0.10136637971312135,-0.10887635648243048,-0.021019034693659365,0.02541967682740976,0.045431896926458215,0.009880037289938831,1.0,0.21083255152069755,0.010485801301446404,-0.07925219034572739,0.0713500796780913,0.05216794113709448
completed_courses,0.013726110590435709,,0.026317856218618856,0.04228133253351013,0.019349773386421475,-0.03472248747729476,0.05787561628150546,0.06583058735904362,-0.00842048639319352,0.0007237045356681352,-0.022303049836049964,0.21083255152069755,1.0,0.3988309468525704,0.9537348606992484,-0.07493108118795615,0.0009800212807274812
average_assessment_score,0.019662212131071968,,0.06385327487572913,-0.04901230652068891,-0.05754707849018899,-0.052562247957463615,0.058362712699606134,0.006810331477034927,0.025386095499696323,-0.055841170341218584,0.005585105999499636,0.010485801301446404,0.3988309468525704,1.0,0.4180987670229207,-0.003213663843452309,0.0077686611129244845
learning_completion_rate,0.01816987834854304,,0.00747298753201902,0.03529634960774904,-0.01022934401969956,-0.069109751376581,0.09715583500632263,0.07151850732255671,-0.01802571720049189,-0.01511552002149167,-0.02497126118628001,-0.07925219034572739,0.9537348606992484,0.4180987670229207,1.0,-0.09177886429754266,-0.014886471555596584
Absences,-0.02552906152293361,,0.040986912678695434,-0.07321012505195092,0.049627495848848256,-0.015134946030631624,0.059678248825231796,0.03954809143149762,0.0631321894008697,0.014683103598241876,0.07053759053984197,0.0713500796780913,-0.07493108118795615,-0.003213663843452309,-0.09177886429754266,1.0,0.001833164292736242
DaysLateLast30,-0.03939914696075885,,-0.0021092054222571475,-0.004757119019141016,-0.05205526617714508,-0.015229118920909683,0.04471382149829176,-0.03285228190190046,-0.06756089208047461,0.07845314900086867,-0.05792216474700379,0.05216794113709448,0.0009800212807274812,0.0077686611129244845,-0.014886471555596584,0.001833164292736242,1.0
