hire_month,employee_count,average_onboarding_completion_rate,average_learning_completion_rate,average_assessment_score,rolling_onboarding_completion_rate,rolling_learning_completion_rate,rolling_assessment_score,onboarding_completion_change
2006-01-01,1,64.28571428571429,80.0,83.10875,64.28571428571429,80.0,83.10875,
2007-06-01,1,92.85714285714286,66.66666666666666,82.63857142857144,78.57142857142858,73.33333333333333,82.87366071428572,28.57142857142857
2007-11-01,1,64.28571428571429,72.72727272727273,85.0975,73.80952380952381,73.13131313131312,83.61494047619048,-28.57142857142857
2008-01-01,1,78.57142857142857,80.0,85.17125,78.57142857142857,73.13131313131312,84.30244047619048,14.285714285714278
2008-09-01,1,57.14285714285714,60.0,88.61166666666666,66.66666666666667,70.90909090909092,86.2934722222222,-21.42857142857143
2008-10-01,1,71.42857142857143,80.0,80.41875,69.04761904761905,73.33333333333333,84.73388888888888,14.285714285714292
2009-01-01,4,80.68181818181819,84.11616161616162,84.9401388888889,69.75108225108225,74.7053872053872,84.65685185185185,9.253246753246756
2009-04-01,1,50.0,72.72727272727273,75.5175,67.37012987012987,78.94781144781145,80.29212962962963,-30.681818181818187
2009-07-01,1,71.42857142857143,60.0,86.09285714285714,67.37012987012987,72.28114478114479,82.18349867724868,21.42857142857143
2009-10-01,1,64.28571428571429,50.0,82.865,61.904761904761905,60.909090909090914,81.49178571428571,-7.142857142857139
2010-04-01,3,79.76190476190476,65.55555555555556,83.37613095238095,71.82539682539682,58.51851851851851,84.11132936507936,15.476190476190467
2010-05-01,1,64.28571428571429,80.0,81.28125,69.44444444444444,65.18518518518518,82.50746031746031,-15.476190476190467
2010-07-01,1,50.0,70.0,84.98428571428572,64.68253968253968,71.85185185185185,83.21388888888889,-14.285714285714292
2010-08-01,2,71.42857142857143,66.81818181818181,83.41214285714285,61.904761904761905,72.27272727272727,83.22589285714285,21.42857142857143
2010-09-01,1,78.57142857142857,80.0,89.115,66.66666666666667,72.27272727272727,85.83714285714285,7.142857142857139
2010-10-01,1,71.42857142857143,90.9090909090909,88.479,73.80952380952381,79.24242424242425,87.00204761904763,-7.142857142857139
2011-01-01,15,73.27949827949828,70.25589225589225,82.87297354497355,74.42649942649943,80.38832772166106,86.82232451499118,1.8509268509268537
2011-02-01,6,72.61904761904762,61.81818181818181,83.13441666666667,72.44237244237245,74.32772166105498,84.8287967372134,-0.6604506604506639
