EmpID,onboarding_completion_rate,learning_completion_rate,average_assessment_score,total_usage_records,productivity_score,productivity_segment,Department
10026,71.42857142857143,40.0,77.24,45,54.93319630010276,Medium Productivity,Production       
10084,78.57142857142857,72.72727272727273,87.135,45,77.83527982808558,High Productivity,IT/IS
10196,71.42857142857143,90.0,84.10777777777778,45,76.92780061664955,High Productivity,Production       
10088,78.57142857142857,80.0,85.17125,45,77.83733727303871,High Productivity,Production       
10069,91.66666666666666,72.72727272727273,81.42699999999999,45,76.58628188358404,High Productivity,Production       
10002,66.66666666666666,63.63636363636363,81.4625,45,64.59807608458688,Medium Productivity,Production       
10194,50.0,63.63636363636363,85.80499999999999,45,63.03422716372354,Medium Productivity,Software Engineering
10062,78.57142857142857,80.0,86.015,45,78.7478588557725,High Productivity,Production       
10114,71.42857142857143,60.0,86.09285714285714,45,70.31997259335387,Medium Productivity,Production       
10250,64.28571428571429,60.0,86.04833333333333,45,67.5933538883179,Medium Productivity,IT/IS
10252,92.85714285714286,81.81818181818183,85.48333333333333,45,84.06156373602415,High Productivity,Production       
10242,57.14285714285714,54.54545454545454,81.6557142857143,45,58.58363698651468,Medium Productivity,Production       
10012,85.71428571428571,63.63636363636363,86.34714285714286,45,77.01213055529601,High Productivity,IT/IS
10265,57.14285714285714,70.0,87.03875,45,68.9002440904419,Medium Productivity,Production       
10066,71.42857142857143,100.0,84.97200000000001,45,80.77708119218912,High Productivity,Production       
10061,64.28571428571429,36.36363636363637,77.328,45,51.28898283970227,Medium Productivity,Production       
10023,71.42857142857143,80.0,83.89777777777778,45,73.78451524494689,Medium Productivity,Production       
10055,54.54545454545454,60.0,82.91,45,60.55406583823848,Medium Productivity,Production       
10245,85.71428571428571,45.45454545454545,77.46571428571428,45,62.12482481547228,Medium Productivity,IT/IS
10277,69.23076923076923,66.66666666666666,77.16166666666668,45,61.802265879604015,Medium Productivity,Production       
10046,72.72727272727273,90.0,87.98555555555555,45,81.59946588183998,High Productivity,Production       
10226,66.66666666666666,90.9090909090909,86.479,45,77.9661107477654,High Productivity,Production       
10003,57.14285714285714,72.72727272727273,87.86375,45,70.58598640568063,Medium Productivity,Production       
10294,64.28571428571429,63.63636363636363,87.52428571428572,45,70.2467143168582,Medium Productivity,Production       
10267,64.28571428571429,54.54545454545454,86.37,45,66.3495670995671,Medium Productivity,Production       
10199,71.42857142857143,70.0,90.29142857142855,45,77.76747173689617,High Productivity,IT/IS
10081,71.42857142857143,80.0,81.07,45,70.73295649194928,Medium Productivity,Admin Offices
10175,57.14285714285714,60.0,83.59666666666666,45,62.269099006509066,Medium Productivity,Production       
10177,92.85714285714286,54.54545454545454,84.80571428571429,45,75.3757747049114,High Productivity,Production       
10238,71.42857142857143,80.0,80.41875,45,70.03016872216512,Medium Productivity,Admin Offices
10184,78.57142857142857,60.0,87.68666666666667,45,74.71848235697156,Medium Productivity,Production       
10203,71.42857142857143,80.0,86.21375,45,76.28376584446728,High Productivity,Production       
10188,85.71428571428571,50.0,88.522,45,75.38182596779718,High Productivity,Sales
10107,53.84615384615385,62.5,84.91400000000002,45,63.18358467072497,Medium Productivity,Production       
10181,71.42857142857143,70.0,88.00999999999999,45,75.30549845837614,High Productivity,Production       
10150,45.45454545454545,14.285714285714285,69.69,45,29.545454545454547,Low Productivity,Software Engineering
10001,71.42857142857143,36.36363636363637,82.3225,45,59.357302469712536,Medium Productivity,Production       
10085,71.42857142857143,90.9090909090909,83.811,45,76.87268834283223,High Productivity,Software Engineering
10115,71.42857142857143,70.0,85.18285714285715,45,72.25462487153133,Medium Productivity,Production       
10082,71.42857142857143,70.0,90.36428571428571,45,77.84609455292907,High Productivity,IT/IS
10040,64.28571428571429,60.0,84.71666666666667,45,66.15630352860569,Medium Productivity,Sales
10067,92.85714285714286,81.81818181818183,84.24333333333334,45,82.72343423962128,High Productivity,Production       
10108,85.71428571428571,90.0,88.94222222222223,45,87.50196985268927,High Productivity,IT/IS
10210,50.0,63.63636363636363,90.18142857142855,45,67.75699180915005,Medium Productivity,Production       
10154,50.0,80.0,90.20375,45,72.55380695443644,Medium Productivity,Production       
10200,71.42857142857143,70.0,90.94714285714284,45,78.47507708119214,High Productivity,Sales
10240,63.63636363636363,60.0,78.62428571428572,45,59.338285215983056,Medium Productivity,Production       
10168,70.0,80.0,88.62555555555555,45,78.35071942446041,High Productivity,Production       
10220,54.54545454545454,50.0,79.65,45,54.119413560061034,Medium Productivity,IT/IS
10275,85.71428571428571,54.54545454545454,82.63166666666666,45,70.35110872341086,Medium Productivity,Production       
10269,71.42857142857143,63.63636363636363,83.8,45,68.90627238468964,Medium Productivity,Production       
10029,90.9090909090909,45.45454545454545,87.59200000000001,45,75.00052321778941,High Productivity,Production       
10261,85.71428571428571,50.0,85.69800000000001,45,72.33434395340869,Medium Productivity,Production       
10292,50.0,54.54545454545454,83.29285714285713,45,57.67176648291754,Medium Productivity,Production       
10282,50.0,70.0,84.98428571428572,45,64.00462487153133,Medium Productivity,Production       
10019,71.42857142857143,90.9090909090909,85.118,45,78.28311999750848,High Productivity,Production       
10094,57.14285714285714,80.0,81.345,45,65.67257622473448,Medium Productivity,Production       
10193,78.57142857142857,60.0,87.55666666666667,45,74.57819458718738,Medium Productivity,IT/IS
10132,66.66666666666666,100.0,89.524,45,83.90359712230214,High Productivity,Production       
10083,64.28571428571429,70.0,83.495,45,67.75462487153135,Medium Productivity,IT/IS
10099,78.57142857142857,50.0,80.60000000000001,45,64.1543336759164,Medium Productivity,Sales
10212,57.14285714285714,70.0,80.75625,45,62.120567831449115,Medium Productivity,IT/IS
10056,57.14285714285714,70.0,86.09857142857143,45,67.88566289825282,Medium Productivity,Production       
10143,76.92307692307693,90.0,88.66666666666667,45,83.90790444567423,High Productivity,Production       
10311,50.0,60.0,89.38,45,65.83153477218224,Medium Productivity,Production       
10070,50.0,45.45454545454545,89.684,45,61.917168083714834,Medium Productivity,Production       
10155,71.42857142857143,72.72727272727273,88.14875,45,76.25068321965803,High Productivity,Software Engineering
10306,64.28571428571429,60.0,82.11571428571428,45,63.349520383693026,Medium Productivity,Sales
10100,71.42857142857143,70.0,83.845,45,70.81089414182938,Medium Productivity,Production       
10310,85.71428571428571,63.63636363636363,85.40285714285713,45,75.99311719455602,High Productivity,Production       
10197,78.57142857142857,72.72727272727273,83.87375,45,74.31594529571149,Medium Productivity,IT/IS
10276,64.28571428571429,77.77777777777779,80.72,45,67.0285390735031,Medium Productivity,Production       
10304,58.333333333333336,63.63636363636363,85.76666666666667,45,66.11786025724872,Medium Productivity,Sales
10284,92.85714285714286,60.0,83.06285714285715,45,75.0859027064063,High Productivity,Production       
10207,71.42857142857143,60.0,84.33857142857143,45,68.42685851318944,Medium Productivity,Production       
10133,85.71428571428571,70.0,83.27285714285713,45,75.55061664953749,High Productivity,IT/IS
10028,64.28571428571429,70.0,82.24714285714286,45,66.40801644398766,Medium Productivity,IT/IS
10006,64.28571428571429,70.0,85.25,45,69.64850976361767,Medium Productivity,Sales
10105,71.42857142857143,90.0,89.52888888888889,45,82.77792052072625,High Productivity,Production       
10211,85.71428571428571,60.0,85.24125,45,74.75811493662209,Medium Productivity,Production       
10064,85.71428571428571,60.0,88.23833333333333,45,77.99237752655016,High Productivity,Production       
10247,84.61538461538461,80.0,83.88624999999999,45,78.71713014204019,High Productivity,Production       
10235,78.57142857142857,70.0,84.74857142857142,45,74.46454265159299,Medium Productivity,Production       
10299,54.54545454545454,72.72727272727273,82.27222222222223,45,63.57793764988009,Medium Productivity,Production       
10280,71.42857142857143,77.77777777777779,84.20142857142856,45,73.46404780937154,Medium Productivity,Production       
10296,85.71428571428571,81.81818181818183,87.12555555555555,45,83.15517456164936,High Productivity,Production       
10290,81.81818181818183,54.54545454545454,88.34166666666665,45,75.05194026596902,High Productivity,Software Engineering
10263,85.71428571428571,80.0,88.42,45,84.02175402535113,High Productivity,Production       
10136,69.23076923076923,72.72727272727273,84.14555555555555,45,71.10651339068603,Medium Productivity,Production       
10189,85.71428571428571,72.72727272727273,87.4825,45,80.888851256657,High Productivity,Production       
10308,78.57142857142857,60.0,80.22571428571429,45,66.66709489551216,Medium Productivity,Production       
10309,66.66666666666666,80.0,92.01875,45,80.7624400479616,High Productivity,IT/IS
10049,50.0,100.0,87.854,45,75.85143884892085,High Productivity,Production       
10093,78.57142857142857,66.66666666666666,92.85666666666668,45,82.2420634920635,High Productivity,Production       
10163,78.57142857142857,50.0,81.44800000000001,45,65.06944158958548,Medium Productivity,Production       
10305,78.57142857142857,81.81818181818183,86.21333333333332,45,79.49219066305395,High Productivity,Sales
10015,84.61538461538461,50.0,81.20833333333333,45,67.0772920125438,Medium Productivity,IT/IS
10080,85.71428571428571,90.0,86.58555555555556,45,84.95880438506336,High Productivity,Admin Offices
10258,63.63636363636363,80.0,86.50375,45,73.67463756267712,Medium Productivity,Sales
10273,64.28571428571429,80.0,81.28125,45,68.28235268927713,Medium Productivity,IT/IS
10111,33.33333333333333,80.0,91.525,45,67.72961630695443,Medium Productivity,Production       
10257,85.71428571428571,70.0,77.1025,45,68.8919578622816,Medium Productivity,Production       
10159,71.42857142857143,90.0,89.4088888888889,45,82.64842411784858,High Productivity,Production       
10122,78.57142857142857,60.0,85.50857142857141,45,72.36801986981841,Medium Productivity,Production       
10142,71.42857142857143,54.54545454545454,80.69714285714285,45,62.906350244479725,Medium Productivity,Sales
10283,71.42857142857143,60.0,83.95,45,68.00753682768071,Medium Productivity,Production       
10018,78.57142857142857,60.0,87.64833333333333,45,74.67711545049673,Medium Productivity,Production       
10255,57.14285714285714,80.0,85.64,45,70.30746831106542,Medium Productivity,Sales
10246,64.28571428571429,60.0,89.04333333333334,45,70.82536827680713,Medium Productivity,IT/IS
10228,85.71428571428571,54.54545454545454,83.52714285714285,45,71.31744993615496,Medium Productivity,IT/IS
10243,71.42857142857143,80.0,87.13374999999999,45,77.27657159986295,High Productivity,Production       
10031,92.85714285714286,100.0,85.961,45,89.88006166495374,High Productivity,Production       
10300,75.0,70.0,85.28714285714285,45,73.70644912641313,Medium Productivity,Production       
10101,57.14285714285714,60.0,90.58166666666666,45,69.80686879068172,Medium Productivity,IT/IS
10237,76.92307692307693,75.0,82.41833333333334,45,72.79009869027855,Medium Productivity,Production       
10051,71.42857142857143,90.0,83.96666666666667,45,76.7755224391915,High Productivity,Production       
10218,78.57142857142857,90.0,83.704,45,79.17064063035284,High Productivity,Production       
10256,71.42857142857143,90.0,91.54333333333334,45,84.95178143199725,High Productivity,Production       
10098,57.14285714285714,70.0,86.35571428571428,45,68.1631551901336,Medium Productivity,Production       
10059,64.28571428571429,90.9090909090909,84.731,45,75.18692266965647,High Productivity,Production       
10234,100.0,70.0,86.94285714285715,45,84.86819116135662,High Productivity,IT/IS
10109,50.0,70.0,84.10000000000001,45,63.05035971223021,Medium Productivity,Sales
10125,72.72727272727273,62.5,88.32666666666667,45,73.94673806409418,Medium Productivity,Production       
10074,78.57142857142857,60.0,82.21857142857142,45,68.81766015758821,Medium Productivity,Production       
10097,70.0,81.81818181818183,85.63222222222223,45,75.65080662742533,High Productivity,Production       
10007,85.71428571428571,60.0,80.32166666666667,45,69.44921205892427,Medium Productivity,Production       
10129,85.71428571428571,90.0,84.06888888888889,45,82.24297704693387,High Productivity,Production       
10075,71.42857142857143,90.0,85.797,45,78.75070229530661,High Productivity,Production       
10167,78.57142857142857,72.72727272727273,88.00875,45,78.77817551153882,High Productivity,Sales
10195,78.57142857142857,72.72727272727273,82.145,45,72.45038774175464,Medium Productivity,Production       
10112,92.85714285714286,80.0,85.75625,45,83.82577509421033,High Productivity,IT/IS
10272,71.42857142857143,60.0,88.61,45,73.03631380609797,Medium Productivity,Sales
10182,71.42857142857143,100.0,87.309,45,83.29902363823226,High Productivity,Admin Offices
